# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# 
# STN         LON        LAT          ALT NAME
# 240: 	      4.77	 52.30	     -44  SCHIPHOL
# 260: 	      5.18	 52.10	      20  DE BILT
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur,UT.12 UT=13 MET, 14 MEZT. Uurvak loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s); 
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur; 
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km); 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# WW       = Weercode (00-99), beschrijving voor het afgelopen uur. Zie http://www.knmi.nl/klimatologie/achtergrondinformatie/ww_lijst_nederlands.pdf; 
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,    M,    R,    S,    O,    Y  
# 
  240,20110701,    1,  300,   30,   30,   60,  130,     ,  101,    0,    0,    0,   -1,10231,   83,    6,   83,   91,    0,    1,    0,    1,    0
  240,20110701,    2,  310,   30,   30,   50,  111,     ,   88,    0,    0,    0,    0,10228,   83,    6,   86,   26,    0,    0,    0,    1,    0
  240,20110701,    3,  310,   30,   30,   40,  105,     ,   84,    0,    0,    0,    0,10229,   83,    6,   87,     ,    0,    0,    0,    0,    0
  240,20110701,    4,  310,   30,   20,   40,  104,     ,   84,    0,    2,    0,    0,10230,   82,    6,   87,     ,    0,    0,    0,    0,    0
  240,20110701,    5,  310,   30,   30,   40,  132,     ,   97,    8,   30,    0,    0,10231,   81,    6,   79,     ,    0,    0,    0,    0,    0
  240,20110701,    6,  310,   40,   40,   60,  149,   82,   96,   10,   80,    0,    0,10232,   81,    6,   71,    2,    0,    0,    0,    0,    0
  240,20110701,    7,  290,   50,   60,   80,  158,     ,   96,    7,  107,    0,    0,10235,   80,    6,   67,     ,    0,    0,    0,    0,    0
  240,20110701,    8,  300,   60,   50,   90,  163,     ,  108,    7,  129,    0,   -1,10236,   80,    0,   70,   23,    0,    1,    0,    0,    0
  240,20110701,    9,  310,   70,   60,  100,  157,     ,   94,    6,  162,    0,    0,10237,   77,    4,   66,     ,    0,    0,    0,    0,    0
  240,20110701,   10,  320,   70,   70,  110,  171,     ,   88,    8,  234,    0,    0,10237,   77,    4,   58,     ,    0,    0,    0,    0,    0
  240,20110701,   11,  320,   70,   80,  120,  141,     ,  106,    7,  220,    1,    5,10239,   71,    6,   79,   82,    0,    1,    0,    0,    0
  240,20110701,   12,  310,   70,   80,  110,  174,  135,   91,    7,  229,    1,    5,10239,   81,    6,   58,   23,    0,    1,    0,    0,    0
  240,20110701,   13,  320,   80,   80,  120,  178,     ,  106,   10,  327,    0,    0,10241,   76,    3,   63,     ,    0,    0,    0,    0,    0
  240,20110701,   14,  350,   80,   70,  110,  161,     ,  109,    8,  244,    0,    0,10239,   76,    6,   71,   81,    0,    1,    0,    0,    0
  240,20110701,   15,  330,   60,   60,  120,  172,     ,   96,    7,  176,    0,   -1,10239,   81,    1,   61,   23,    0,    1,    0,    0,    0
  240,20110701,   16,  320,   80,   70,  110,  172,     ,   89,   10,  234,    0,    0,10236,   80,    0,   58,     ,    0,    0,    0,    0,    0
  240,20110701,   17,  340,   70,   60,  110,  165,     ,   85,   10,  166,    0,    0,10234,   81,    1,   59,     ,    0,    0,    0,    0,    0
  240,20110701,   18,  320,   70,   60,  100,  158,  149,   74,    8,   85,    0,    0,10235,   80,    5,   57,    3,    0,    0,    0,    0,    0
  240,20110701,   19,  320,   60,   50,   90,  145,     ,   93,    2,   29,    0,   -1,10234,   81,    6,   71,   81,    0,    1,    0,    0,    0
  240,20110701,   20,  330,   50,   40,   80,  133,     ,   84,    3,   13,    0,   -1,10231,   81,    0,   72,   23,    0,    1,    0,    0,    0
  240,20110701,   21,  330,   30,   30,   60,  119,     ,   82,    0,    0,    0,    0,10229,   82,    0,   78,     ,    0,    0,    0,    0,    0
